task,n_steps,eligible_immediate_pairs,all_history_exposures,result_status,score,length_stratum,task_stratum,task_goal,traj_path,traj_sha256
MastodonServerInfoReportTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"switch to owner account in mastodon, then go to account backend to find the number of reports not tackled yet, and send the number as an email content in the format: ""Recent reports: xxx"" to owner@mastodon_example.com by email, the number should be in Arabic numerals.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonServerInfoReportTask/traj.json,9e5232101bb5d51d2e582f3e05d3c3e9b4215882f26e529c6eb04d820003d25d
MastodonShareLocationTask,6,5,15,missing,,short_02_15,missing__short_02_15,"Search for the location Eiffel Tower on Google Map, and share the link to Mastodon, add the Eiffel Tower image in my photo gallery, then post it.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonShareLocationTask/traj.json,b2f6f9137e81f184abf59dd227b252b909dc2af318211c6e67728647468f1d5a
MastodonUnfollowTask,14,13,91,success,1.0,short_02_15,success__short_02_15,"manage my following list on Mastodon, only keep the latest three users, and unfollow all other users.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonUnfollowTask/traj.json,03772156cd6cda830bc7fc8f72044142849410f940b318f0e79a2955684bd2ed
MastodonUpdateContactsTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"My friend Olivia has left new phone and email information in the latest post on Mastodon, please update the information to my contacts, and send a text message to Olivia, the content of the text message should be 'Hello, how are you'. Remember to set the email label to internet.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonUpdateContactsTask/traj.json,01b24027ca2b3fca49eafa611d9e31cde4c1ea6924d1e25af6b618a493940688
MattermostBudgetApprovalPipelineTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Review the 'budget-approvals-q4' channel for budget requests from different departments. Each request includes ROI calculations using mathematical formulas.

Your tasks:
1. Identify all budget requests that exceed $50,000 (these require executive approval).
2. Calculate and identify which department has the HIGHEST projected ROI based on the NPV (Net Present Value) formula results posted in the channel.
3. Post a consolidated budget summary in the channel with a markdown table showing:
   - Department name
   - Requested amount
   - Projected ROI
   - Approval status (Executive Required or Standard)",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostBudgetApprovalPipelineTask/traj.json,772961444b6dd7f47ff7385febdd47e441e528c5186c7a2cb9d3e277e121d81e
MattermostCreateChannelTask,46,45,1035,success,1.0,long_35_50,success__long_35_50,Create a channel on Mattermost called 'reading' for paper reading. Add everyone to the channel and greet everyone with a welcome message.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostCreateChannelTask/traj.json,eef6a232fd9f00e42ece8e3d361013a640950aebcb3b54656c61daf030190f76
MattermostCustomerFeedbackAnalysisTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Analyze the 'customer-feedback' channel. Identify all NEGATIVE feedback items (complaints, bugs, issues). 1. Send a summary email to 'product@company.com' with subject 'Weekly Negative Feedback Digest' listing these items.
2. Schedule a meeting 'Feedback Review' for next Friday at 14:00 in the Calendar.
3. Reply to the channel with 'Feedback logged and meeting scheduled'.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostCustomerFeedbackAnalysisTask/traj.json,aac6b614a8bc14b5be112ead56a49fa8fb0693282f685b0f4380eb43d7d720ee
MattermostDeadlineReconciliationTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"I suspect there's a discrepancy between what was discussed and what got documented. Please verify by checking the project-updates channel on Mattermost for any messages mentioning 'deadline' or 'milestone'. For each deadline mentioned, check if there's a corresponding calendar event within ±2 days of the mentioned date. Generate a reconciliation report showing: Deadlines with matching calendar events (PASS), Deadlines WITHOUT calendar events (- Missing), Calendar events not mentioned in chat (📅 Untracked). Email this report to dylan@gmail.com with subject 'Deadline Audit Report'. For each missing calendar event, create it with title '[AUTO] {deadline description}' and post confirmation in the project-updates channel listing the created event titles.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostDeadlineReconciliationTask/traj.json,6763dcbdb011d15efde6f23e4779bb41c33031ee5f18492430bb434fb135e3b3
MattermostEmailTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,Sam has sent me a signed contract on Mattermost. Send it to our Legal (legal@company.com) through email. Include the tracking code. Send sam a quick confirmation when you're done. Thanks.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostEmailTask/traj.json,4e0fd2f2430d6ba3eba17ad0911009ccf10406f7b185aa646112b2c47da03914
MattermostIncidentEscalationTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Monitor the 'support-tickets' channel for CRITICAL incidents. If a critical ticket is found:
1. Create a dedicated channel named 'incident-<ticket_id>' (e.g., incident-ticket-123).
2. Add user 'sam.oneill@neuralforge.ai' to this new channel.
3. Email 'cto@company.com' with subject 'CRITICAL INCIDENT: <ticket_id>' and the issue description.
4. Schedule a 'Discussion on <ticket_id>' meeting for tomorrow at 09:00 AM in the calendar.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostIncidentEscalationTask/traj.json,f77b83448a4f9fc34d5d3ddb5dda864e704ea9a254efba0409bc863cc206c1dd
MattermostProjectHandoverTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,I'm passing the Phoenix project to Alex. Add Alex to the phoenix channel on mattermost.  ping everyone to schedule a 1-hour project meeting on Monday (find an available time slot from my calendar). Use this exact format in your message: `Meeting Time: [YYYY-MM-DD] from [HH:MM] to [HH:MM]`,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostProjectHandoverTask/traj.json,5c76ab3874aa75b43d5393d89826ec0002c1a7419944cb25e8945150036b7f74
MattermostProjectStatusReportTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"I need a comprehensive project status report. Check these Mattermost channels: 'backend-team', 'frontend-team', and 'qa-team' for status updates. For each team, identify items marked as 'blocked', 'at-risk', or 'on-track'. Cross-reference with calendar milestones to verify if timeline claims are accurate. Generate a risk matrix report in the following format: 
On Track (status=on-track AND milestone exists within 3 days): <item name>, <item name>, ... (and so on for all on-track items) 
At Risk (status=at-risk OR no milestone found): <item name>, <item name>, ... (and so on for all at-risk items) 
Blocked (explicitly marked blocked): <item name>, <item name>, ... (and so on for all blocked items) 
Email this report to 'pm@company.com' with subject 'Sprint Status Risk Matrix'. For any blocked items, create a calendar event titled '[ESCALATION] {item name}' on the next business day at 10:00-10:30. Post a summary in the 'project-sync' channel with the counts: X on-track, Y at-risk, Z blocked.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostProjectStatusReportTask/traj.json,3c58da293de23ad0ecb97b680a124d0ef9b978d6c70be835bc85f28eebb13ba1
MattermostReadingGroupTask,35,34,595,failure,0.0,long_35_50,failure__long_35_50,Please help me complete the task in mattermost reading group following sam's request.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostReadingGroupTask/traj.json,3bcafa7a3971112d064bb4dc2152193f0d1aac836e0bfdee9a85ed4dc6a8ce5b
MattermostReplyToMessageTask,9,8,36,success,1.0,short_02_15,success__short_02_15,I just got our OSWorld eval SR result (35.5). Reply to my own earlier message in AI-Research on mattermost with the result.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostReplyToMessageTask/traj.json,4a16c35977900f41b261b7d5c7598b93f741f92a886441bc9daa6b292f76f58c
MattermostResourceConflictResolutionTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Check the 'resource-booking' channel on Mattermost for resource requests. Cross-reference each request with the calendar to determine status. Send a report email to 'facilities@company.com' with subject 'Resource Booking Conflicts' in the following format:
APPROVED: <resource>, <resource>, ... (no calendar conflict)
CONFLICT: <resource>, <resource>, ... (overlaps existing booking)
For approved requests, add calendar events titled 'BOOKED: [resource] - [requester]'. For conflicts, DM the requester about the issue.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostResourceConflictResolutionTask/traj.json,5768218785c30ad7ebbe07cc0bcd0094232931c10b46027199d86e82fa47aae7
MattermostSendFileTask,14,13,91,success,1.0,short_02_15,success__short_02_15,It's alex's 21st birthday today. Send a birthday message to him privately on mattermost. Upload a birthday cake image to the message.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostSendFileTask/traj.json,f0e1c8938821fdc193669ed47d4e60b91a639c24a73a5ba59bdc6505f4c49dca
MattermostShiftCoverageTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Review shift swap requests in 'shift-requests' channel. Check the Calendar for any conflicts on the requested dates. If there is a conflict (e.g. 'All Hands' or 'Training'), reply to the request in the channel with 'Denied: [Reason]'. If there is no conflict, forward the request via email to 'hr@company.com' with subject 'Shift Swap Request' and reply to the user 'Request escalated to HR'.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostShiftCoverageTask/traj.json,4214b939eb065211a6e83f4e1877efe08fb695780e29008b706730e1923f998b
MattermostTechnicalDebtTriageTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Review the 'tech-debt-review' channel on Mattermost for technical debt discussions. Team members have posted complexity analysis using mathematical formulas. Your tasks:
1. Identify the module with the HIGHEST complexity score (look for the LaTeX formula results).
2. Send Sarah an SMS with the highest-priority module name and its complexity score.
3. Create a new contact named 'Refactoring Team' with phone number '15559876543' and add the company 'TechDebt Solutions Inc'.
4. Post a summary in the 'tech-debt-review' channel listing all modules sorted by complexity (highest first) in a markdown table format.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostTechnicalDebtTriageTask/traj.json,207efb8edaede6219f3faed90e265332b554fcfa0f4cb9d4e300aaa4fd431b64
MattermostVisualInstructionResponseTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Check the 'emergency-response' channel on Mattermost. The operations manager has posted a whiteboard photo with emergency contacts and shift times. Please:
1. Create new contacts for the people listed in the 'Emergency Contacts' image. Only fill the first name and phone number.
2. Set alarms for the shift start times listed in the 'Shift Schedule' image, using the shift name as the alarm label.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MattermostVisualInstructionResponseTask/traj.json,287d65eb25e6a0e5e2cd3f26fb29cf1eb3b6d47ce37db2e34130ebc527c36439
OpenFlightModeTask,5,4,10,success,1.0,short_02_15,success__short_02_15,Turn on device flight mode,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/OpenFlightModeTask/traj.json,e170125052b5fc9b1f635ce72aade74089aa4302fef6ff31a6400080a1ceee46
PhotoManagementTask,43,42,903,failure,0.0,long_35_50,failure__long_35_50,Find all my food pics from the past month and help me classify them into different folders named travel locations. You can find where I visited from calendar.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/PhotoManagementTask/traj.json,f93b5c63382f4e916763d11ae922d74524c9a0dfba5bd61b22c881b4cb832057
ReadQwen3PaperTask1,31,30,465,failure,0.0,medium_16_34,failure__medium_16_34,Read the downloaded Qwen3 paper and indicate by how many points Qwen3-32B (Thinking) lags behind the best model on the AIME25 benchmark. The answer should consist of only a single number representing the score difference.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ReadQwen3PaperTask1/traj.json,bdb8dccff5935cf9c4293a9a55851feca8af1213b97d33cc7b76a3dc95e8481e
ReadQwen3PaperTask2,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,Read the downloaded Qwen3 paper and tell me how many core contributors in this paper. The answer should consist of only a single number.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ReadQwen3PaperTask2/traj.json,6cc4387fe61eed3d888332c8fb8579a8da46d1f3de50201196aa101f70b6ddab
ReadQwen3PaperTask3,40,39,780,failure,0.0,long_35_50,failure__long_35_50,Read the downloaded Qwen3-Omni paper and tell me how many benchmarks are used in evaluting the Text to Text performance of Qwen3-Omni-Thinking model. The answer should consist of only a single number.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ReadQwen3PaperTask3/traj.json,a9699e668bb1b225c1f0e8d48f9aef548678809863ced981eaeb2d9f6b630068
ReadQwen3PaperTask4,36,35,630,success,1.0,long_35_50,success__long_35_50,Read the downloaded Qwen3-Omni paper and tell me the size of Vision encoder in Qwen3-Omni-30B-A3B model. The answer should consist of only a single number representing the size in MB.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ReadQwen3PaperTask4/traj.json,820cc964a2e5fbdd4807cb99e5026a1b9a311198f58c7e7ab5ea501590469dec
ReadQwen3PaperTask5,27,26,351,failure,0.0,medium_16_34,failure__medium_16_34,Read the downloaded Qwen3 paper and tell me what kind of Austroasiatic language is supported by Qwen3 in Belebele Benchmark.The answer should be a list of languages separated by comma.No other text.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ReadQwen3PaperTask5/traj.json,39fa2f8266c0745f8d9a8821ac17985cb4a50ad2b5c6328edb6f4e634ed35280
RecentTotalExpenseTask,9,8,36,success,1.0,short_02_15,success__short_02_15,"请帮我算一下在淘店上最近1个月我总共花了多少钱。请只回答一个整数, 不要返回任何其他文本.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/RecentTotalExpenseTask/traj.json,2a3e056ad384c280b52b07ac2b213c66b29ce9a3d7cf380b88fc883fd9317e17
RequestCarpoolingTask,11,10,55,success,1.0,short_02_15,success__short_02_15,"Check my email for the time of the math competition tomorrow. If it's between 12 and 5 pm, text Daniel (3522228876) 'Hey, could you help send Bob to the competition tomorrow? Thanks.'",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/RequestCarpoolingTask/traj.json,3d2f88ed34766be8a060136e2ead258fedec7c56d06f38bfa8e19edd7ddb4108
ReviewPaperEmailTask,45,44,990,failure,0.0,long_35_50,failure__long_35_50,查找手机Documents文件夹内所有review开头的pdf文件，移动在Document/paper下，并将paper目录下的所有文件，发送到chen@gmail.com，标题为paper。,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ReviewPaperEmailTask/traj.json,aec677a932cfce0580a7a1439baf3140cd3c34f660da4c99251bf8b739ec8039
SMSManagement,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Check all unread sms messages, delete spams, and provide a summary of recruitment messages to me via email by sending to dylan@gmail.com. Note I'm only interested in open data scientist role.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/SMSManagement/traj.json,a1401202ec5a943680ea8a48ba553f81eaf11a0ff368df3652238f72ad27299c
ScheduleCoffeeTimeViaSmsTask,17,16,136,success,1.0,medium_16_34,success__medium_16_34,"I've received a coffee time invitation via text message; please check the calendar.If I am available in this time slot, reply ""OK"" and schedule a corresponding event on my calendar.Otherwise reply ""Not available in this time slot.""",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ScheduleCoffeeTimeViaSmsTask/traj.json,53d4e4ed91502caad806b40d049efe3c4c005bb573a19b6dac9c68974b22c759
ScheduleLunchViaSmsTask,18,17,153,failure,0.0,medium_16_34,failure__medium_16_34,"I've received a lunch invitation via text message; please reply ""OK"" and schedule a corresponding event on my calendar.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ScheduleLunchViaSmsTask/traj.json,a200ec3714f4fda0e9661dcc10503310f1f91de65d3141aaf59b3270577e6ec4
SearchItemAndCheckoutTask,13,12,78,success,1.0,short_02_15,success__short_02_15,万圣节快到了，帮我在淘店下单买一套临时纹身，在支付页面让我操作,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/SearchItemAndCheckoutTask/traj.json,1c76d5c4c8f0ff74e653859552052b579b1bcb11e13c83e2580159737ce11067
SendFormsTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Please check my email for any field trip forms sent from October 3rd onward.Download all of them and send them to principal@school.edu with the subject 'Field Trip Forms'. Then, tell me how many forms you found as a single number.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/SendFormsTask/traj.json,14a0122f8edb0638dfc8d51de10ac5b314d288c4c236073526f5d8399307355c
SendInterviewEmailTask,11,10,55,failure,0.0,short_02_15,failure__short_02_15,"Find Kevin's resume and send an email to Kevin saying: ""Your interview is scheduled for tomorrow morning at 10:30 AM.""",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/SendInterviewEmailTask/traj.json,4a1d990b2ee0db18df056faca7e32564247c6e7bc19c852553fa552e5088c951
SendInterviewInvitationTask,48,47,1128,success,1.0,long_35_50,success__long_35_50,"Find Kevin's resume and send a text message to Kevin saying: ""Your interview is scheduled for tomorrow morning at 10:30 AM.""",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/SendInterviewInvitationTask/traj.json,e41afadafeabd2f1238c4671590c475755049a1f461a61a0138a06fc9cb0a0a6
SendWaiverTask,20,19,190,success,1.0,medium_16_34,success__medium_16_34,Send the file 'waiver.jpg' as an email attachment to bob@gmail.com. Title the email 'Updated waiver'.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/SendWaiverTask/traj.json,ffc2e6afe7e78f49106923e13856866754f247f55d88ab944553fae565134446
SetAlarmTask,16,15,120,success,1.0,medium_16_34,success__medium_16_34,"Set a weekend alarm for 8:25 a.m. with the ringtone ""beebeep"" and vibration off. ",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/SetAlarmTask/traj.json,8de59a92c7918816a7e93c8f3365581195eb8ad00d02ce4612bca51502774b4f
SharePhotosTask,14,13,91,success,1.0,short_02_15,success__short_02_15,"Find all flowers pictures in gallery and send them via email to kevin_zhang@example.com, with text ""Here are some flowers for you.""",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/SharePhotosTask/traj.json,93cfd0935beb87bb2752e2fc9eede5cfc3caf311b7c059332bdc0d8639af502c
SuggestPaperTask,29,28,406,success,1.0,medium_16_34,success__medium_16_34,Reply to Tony's email asking for paper suggestions with a pdf of the ddpm paper (save the pdf to Download with the name `ddpm.pdf`).Mention the full name and the abstract of the paper in the email body.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/SuggestPaperTask/traj.json,511d8e00d91132d03cf5b71de2783110def48e7aab35683a9d910786e0bd1bc1
SumFileLinesTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Check the all files inside the earliest zip file from July in the Downloads directory and count how many lines it contains in total. Respond only with an integer representing the line count, with no other text.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/SumFileLinesTask/traj.json,1ab8bc57c94f21d1f40b326fd24f1fd386bea07adca5c67d28dd1d6865a52633
TakeSelfieTask,8,7,28,success,1.0,short_02_15,success__short_02_15,Take a photo.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/TakeSelfieTask/traj.json,3b6c3b366ac330f9001ab7a4cf4a86cb18a8b6bbe499b9f5472c8017d3bf0e10
TextArrivalTimeTask,27,26,351,failure,0.0,medium_16_34,failure__medium_16_34,Search up how long it takes to drive from Orlando to Miami.Text Susan (4538997638) the approximate time I'll be there if I leave at 5 pm.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/TextArrivalTimeTask/traj.json,d0c7c0aa02de5a54f6bfc89490aeebddaf007decc05caacdfdba5a25a1c4f282
